BayID,DeviceID,Description1,Description2,Description3,Description4,Description5,Description6,DisabilityExt1,DisabilityExt2,DisabilityExt3,DisabilityExt4,DisabilityExt5,DisabilityExt6,Duration1,Duration2,Duration3,Duration4,Duration5,Duration6,EffectiveOnPH1,EffectiveOnPH2,EffectiveOnPH3,EffectiveOnPH4,EffectiveOnPH5,EffectiveOnPH6,EndTime1,EndTime2,EndTime3,EndTime4,EndTime5,EndTime6,Exemption1,Exemption2,Exemption3,Exemption4,Exemption5,Exemption6,FromDay1,FromDay2,FromDay3,FromDay4,FromDay5,FromDay6,StartTime1,StartTime2,StartTime3,StartTime4,StartTime5,StartTime6,ToDay1,ToDay2,ToDay3,ToDay4,ToDay5,ToDay6,TypeDesc1,TypeDesc2,TypeDesc3,TypeDesc4,TypeDesc5,TypeDesc6
3053,20669,MTR A  M-F 7:30-18:30   ,4P TKT A SAT 7:30-12:30,,,,,480,480,,,,,240,240,,,,,0,0,,,,,18:30:00,12:30:00,,,,,,,,,,,1,6,,,,,7:30:00,7:30:00,,,,,5,6,,,,,4P Ticket A,4P Ticket A,,,,
3055,10584,MTR M-SAT  7:30-20:30    ,2P SUN 7:30-18:30,,,,,240,240,,,,,120,120,,,,,0,0,,,,,20:30:00,18:30:00,,,,,,,,,,,1,0,,,,,7:30:00,7:30:00,,,,,6,0,,,,,2P Meter,2P,,,,
3058,19516,MTR M-SAT  7:30-20:30    ,2P SUN 7:30-18:30,,,,,240,240,,,,,120,120,,,,,0,0,,,,,20:30:00,18:30:00,,,,,,,,,,,1,0,,,,,7:30:00,7:30:00,,,,,6,0,,,,,2P Meter,2P,,,,
3059,19517,DIS ONLY  7:30-18:30    ,,,,,,0,,,,,,120,,,,,,1,,,,,,18:30:00,,,,,,,,,,,,1,,,,,,7:30:00,,,,,,0,,,,,,2P Disabled Only,,,,,
3061,19519,MTR M-SAT  7:30-20:30    ,2P SUN 7:30-18:30,,,,,240,240,,,,,120,120,,,,,0,0,,,,,20:30:00,18:30:00,,,,,,,,,,,1,0,,,,,7:30:00,7:30:00,,,,,6,0,,,,,2P Meter,2P,,,,
3062,19520,MTR M-SAT  7:30-20:30    ,2P SUN 7:30-18:30,,,,,240,240,,,,,120,120,,,,,0,0,,,,,20:30:00,18:30:00,,,,,,,,,,,1,0,,,,,7:30:00,7:30:00,,,,,6,0,,,,,2P Meter,2P,,,,
3063,19521,MTR M-SAT  7:30-20:30    ,2P SUN 7:30-18:30,,,,,240,240,,,,,120,120,,,,,0,0,,,,,20:30:00,18:30:00,,,,,,,,,,,1,0,,,,,7:30:00,7:30:00,,,,,6,0,,,,,2P Meter,2P,,,,
3064,19522,MTR M-SAT  7:30-20:30    ,2P SUN 7:30-18:30,,,,,240,240,,,,,120,120,,,,,0,0,,,,,20:30:00,18:30:00,,,,,,,,,,,1,0,,,,,7:30:00,7:30:00,,,,,6,0,,,,,2P Meter,2P,,,,
3065,19523,MTR M-SAT  7:30-20:30    ,2P SUN 7:30-18:30,,,,,240,240,,,,,120,120,,,,,0,0,,,,,20:30:00,18:30:00,,,,,,,,,,,1,0,,,,,7:30:00,7:30:00,,,,,6,0,,,,,2P Meter,2P,,,,
3067,19525,MTR M-SAT  7:30-20:30    ,2P SUN 7:30-18:30,,,,,240,240,,,,,120,120,,,,,0,0,,,,,20:30:00,18:30:00,,,,,,,,,,,1,0,,,,,7:30:00,7:30:00,,,,,6,0,,,,,2P Meter,2P,,,,
3071,20671,M-F 7:30-18:30      ,2P SAT 7:30-12:30,,,,,120,240,,,,,60,120,,,,,0,0,,,,,18:30:00,12:30:00,,,,,,,,,,,1,6,,,,,7:30:00,7:30:00,,,,,5,6,,,,,1P,2P,,,,
3074,20674,M-F 7:30-18:30      ,2P SAT 7:30-12:30,,,,,120,240,,,,,60,120,,,,,0,0,,,,,18:30:00,12:30:00,,,,,,,,,,,1,6,,,,,7:30:00,7:30:00,,,,,5,6,,,,,1P,2P,,,,
3076,20676,M-F 7:30-18:30      ,2P SAT 7:30-12:30,,,,,120,240,,,,,60,120,,,,,0,0,,,,,18:30:00,12:30:00,,,,,,,,,,,1,6,,,,,7:30:00,7:30:00,,,,,5,6,,,,,1P,2P,,,,
3081,20677,M-F 7:30-18:30      ,2P SAT 7:30-12:30,,,,,120,240,,,,,60,120,,,,,0,0,,,,,18:30:00,12:30:00,,,,,,,,,,,1,6,,,,,7:30:00,7:30:00,,,,,5,6,,,,,1P,2P,,,,
3082,20678,M-F 7:30-18:30      ,2P SAT 7:30-12:30,,,,,120,240,,,,,60,120,,,,,0,0,,,,,18:30:00,12:30:00,,,,,,,,,,,1,6,,,,,7:30:00,7:30:00,,,,,5,6,,,,,1P,2P,,,,
3085,20681,RPA M-SUN  7:30-23:00    ,,,,,,120,,,,,,60,,,,,,0,,,,,,23:00:00,,,,,,Residents Permit Accepted,,,,,,1,,,,,,7:30:00,,,,,,0,,,,,,1P,,,,,
3086,20682,RPA M-SUN  7:30-23:00    ,,,,,,120,,,,,,60,,,,,,0,,,,,,23:00:00,,,,,,Residents Permit Accepted,,,,,,1,,,,,,7:30:00,,,,,,0,,,,,,1P,,,,,
3087,20683,RPA M-SUN  7:30-23:00    ,,,,,,120,,,,,,60,,,,,,0,,,,,,23:00:00,,,,,,Residents Permit Accepted,,,,,,1,,,,,,7:30:00,,,,,,0,,,,,,1P,,,,,
3088,20684,RPA M-SUN  7:30-23:00    ,,,,,,120,,,,,,60,,,,,,0,,,,,,23:00:00,,,,,,Residents Permit Accepted,,,,,,1,,,,,,7:30:00,,,,,,0,,,,,,1P,,,,,
3089,20685,RPA M-SUN  7:30-23:00    ,,,,,,120,,,,,,60,,,,,,0,,,,,,23:00:00,,,,,,Residents Permit Accepted,,,,,,1,,,,,,7:30:00,,,,,,0,,,,,,1P,,,,,
3090,20686,RPA M-SUN  7:30-23:00    ,,,,,,120,,,,,,60,,,,,,0,,,,,,23:00:00,,,,,,Residents Permit Accepted,,,,,,1,,,,,,7:30:00,,,,,,0,,,,,,1P,,,,,
3091,20687,RPA M-SUN  7:30-23:00    ,,,,,,120,,,,,,60,,,,,,0,,,,,,23:00:00,,,,,,Residents Permit Accepted,,,,,,1,,,,,,7:30:00,,,,,,0,,,,,,1P,,,,,
3092,20688,RPA M-SUN  7:30-23:00    ,,,,,,120,,,,,,60,,,,,,0,,,,,,23:00:00,,,,,,Residents Permit Accepted,,,,,,1,,,,,,7:30:00,,,,,,0,,,,,,1P,,,,,
3093,20689,RPA M-SUN  7:30-23:00    ,,,,,,120,,,,,,60,,,,,,0,,,,,,23:00:00,,,,,,Residents Permit Accepted,,,,,,1,,,,,,7:30:00,,,,,,0,,,,,,1P,,,,,
3095,20691,RPA M-SUN  7:30-23:00    ,,,,,,120,,,,,,60,,,,,,0,,,,,,23:00:00,,,,,,Residents Permit Accepted,,,,,,1,,,,,,7:30:00,,,,,,0,,,,,,1P,,,,,
